"","Strain_Type","Position","Name","Description","Species","Highest_Value","no_N","Value_minus_no_N","max_OD","growth","adjusted_value_col","derivative","max_derivative","Treatment","timepoints","maxOD_before","growth_before"
"1",X253,F7,12B01,Vibrionales,Vibrio splendidus,0.0619,0.0619,0,0.4224,1,0.01,NA,0.161120692704618,Ammonium + C,0,0.5741,1
"2",X253,F7,12B01,Vibrionales,Vibrio splendidus,0.0601,0.0618,0,0.4224,1,0.01,0,0.161120692704618,Ammonium + C,2.80833333333333,0.5741,1
"3",X253,F7,12B01,Vibrionales,Vibrio splendidus,0.2535,0.0621,0.1914,0.4224,1,0.2014,0.161120692704618,0.161120692704618,Ammonium + C,21.4447222222222,0.5741,1
"4",X253,F7,12B01,Vibrionales,Vibrio splendidus,0.4037,0.0702,0.3335,0.4224,1,0.3435,0.100287966238486,0.161120692704618,Ammonium + C,26.7683333333333,0.5741,1
"5",X253,F7,12B01,Vibrionales,Vibrio splendidus,0.5522,0.1298,0.4224,0.4224,1,0.4324,0.012437560894169,0.161120692704618,Ammonium + C,45.2738888888889,0.5741,1
"6",X253,F7,12B01,Vibrionales,Vibrio splendidus,0.5741,0.1606,0.4135,0.4224,1,0.4235,-0.00534565600618294,0.161120692704618,Ammonium + C,49.1644444444444,0.5741,1
"7",X253,F7,12B01,Vibrionales,Vibrio splendidus,0.4525,0.2537,0.1988,0.4224,1,0.2088,-0.0105349150618482,0.161120692704618,Ammonium + C,116.291388888889,0.5741,1
"8",X1,A1,1A01,Vibrionales,Vibrio lentus/splendidus,0.0625,0.0625,0,0.4592,1,0.01,NA,0.217127206511891,Ammonium + C,0,0.6594,1
"9",X1,A1,1A01,Vibrionales,Vibrio lentus/splendidus,0.0746,0.0662,0.0084,0.4592,1,0.0184,0.217127206511891,0.217127206511891,Ammonium + C,2.80833333333333,0.6594,1
"10",X1,A1,1A01,Vibrionales,Vibrio lentus/splendidus,0.1724,0.0803,0.0921,0.4592,1,0.1021,0.0919492542665998,0.217127206511891,Ammonium + C,21.4447222222222,0.6594,1
"11",X1,A1,1A01,Vibrionales,Vibrio lentus/splendidus,0.277,0.0897,0.1873,0.4592,1,0.1973,0.123745456628678,0.217127206511891,Ammonium + C,26.7683333333333,0.6594,1
"12",X1,A1,1A01,Vibrionales,Vibrio lentus/splendidus,0.5309,0.1789,0.352,0.4592,1,0.362,0.032796572735964,0.217127206511891,Ammonium + C,45.2738888888889,0.6594,1
"13",X1,A1,1A01,Vibrionales,Vibrio lentus/splendidus,0.6594,0.2002,0.4592,0.4592,1,0.4692,0.0666704025298285,0.217127206511891,Ammonium + C,49.1644444444444,0.6594,1
"14",X1,A1,1A01,Vibrionales,Vibrio lentus/splendidus,0.6308,0.3802,0.2506,0.4592,1,0.2606,-0.00876015520973476,0.217127206511891,Ammonium + C,116.291388888889,0.6594,1
"15",X337,H1,1A01_rep,Vibrionales,Vibrio lentus/splendidus,0.0645,0.0645,0,0.3803,1,0.01,NA,0.286351321849679,Ammonium + C,0,0.6319,1
"16",X337,H1,1A01_rep,Vibrionales,Vibrio lentus/splendidus,0.0591,0.0791,0,0.3803,1,0.01,0,0.286351321849679,Ammonium + C,2.80833333333333,0.6319,1
"17",X337,H1,1A01_rep,Vibrionales,Vibrio lentus/splendidus,0.1216,0.0943,0.0273,0.3803,1,0.0373,0.0706364436535542,0.286351321849679,Ammonium + C,21.4447222222222,0.6319,1
"18",X337,H1,1A01_rep,Vibrionales,Vibrio lentus/splendidus,0.2644,0.1031,0.1613,0.3803,1,0.1713,0.286351321849679,0.286351321849679,Ammonium + C,26.7683333333333,0.6319,1
"19",X337,H1,1A01_rep,Vibrionales,Vibrio lentus/splendidus,0.5273,0.17,0.3573,0.3803,1,0.3673,0.0412180301858897,0.286351321849679,Ammonium + C,45.2738888888889,0.6319,1
"20",X337,H1,1A01_rep,Vibrionales,Vibrio lentus/splendidus,0.5913,0.211,0.3803,0.3803,1,0.3903,0.0156113234970308,0.286351321849679,Ammonium + C,49.1644444444444,0.6319,1
"21",X337,H1,1A01_rep,Vibrionales,Vibrio lentus/splendidus,0.6319,0.4945,0.1374,0.3803,1,0.1474,-0.0145063312875389,0.286351321849679,Ammonium + C,116.291388888889,0.6319,1
"22",X3,A2,3B05,Pseudomonadales,Neptunomonas phycophila,0.0707,0.0707,0,0.4161,1,0.01,NA,0.246817987143007,Ammonium + C,0,0.7649,1
"23",X3,A2,3B05,Pseudomonadales,Neptunomonas phycophila,0.079,0.069,0.01,0.4161,1,0.02,0.246817987143007,0.246817987143007,Ammonium + C,2.80833333333333,0.7649,1
"24",X3,A2,3B05,Pseudomonadales,Neptunomonas phycophila,0.1797,0.0871,0.0926,0.4161,1,0.1026,0.0877372579490191,0.246817987143007,Ammonium + C,21.4447222222222,0.7649,1
"25",X3,A2,3B05,Pseudomonadales,Neptunomonas phycophila,0.2587,0.1057,0.153,0.4161,1,0.163,0.0869545611819637,0.246817987143007,Ammonium + C,26.7683333333333,0.7649,1
"26",X3,A2,3B05,Pseudomonadales,Neptunomonas phycophila,0.6612,0.2591,0.4021,0.4161,1,0.4121,0.050120939884972,0.246817987143007,Ammonium + C,45.2738888888889,0.7649,1
"27",X3,A2,3B05,Pseudomonadales,Neptunomonas phycophila,0.7249,0.3088,0.4161,0.4161,1,0.4261,0.00858695414679,0.246817987143007,Ammonium + C,49.1644444444444,0.7649,1
"28",X3,A2,3B05,Pseudomonadales,Neptunomonas phycophila,0.7649,0.6314,0.1335,0.4161,1,0.1435,-0.0162131471097559,0.246817987143007,Ammonium + C,116.291388888889,0.7649,1
"29",X5,A3,3C02,Vibrionales,Vibrio splendidus,0.0622,0.0622,0,0.1319,1,0.01,NA,0.134368942431483,Ammonium + C,0,0.5911,1
"30",X5,A3,3C02,Vibrionales,Vibrio splendidus,0.0676,0.0832,0,0.1319,1,0.01,0,0.134368942431483,Ammonium + C,2.80833333333333,0.5911,1
"31",X5,A3,3C02,Vibrionales,Vibrio splendidus,0.0763,0.1117,0,0.1319,1,0.01,0,0.134368942431483,Ammonium + C,21.4447222222222,0.5911,1
"32",X5,A3,3C02,Vibrionales,Vibrio splendidus,0.1194,0.1242,0,0.1319,1,0.01,0,0.134368942431483,Ammonium + C,26.7683333333333,0.5911,1
"33",X5,A3,3C02,Vibrionales,Vibrio splendidus,0.4621,0.3519,0.1102,0.1319,1,0.1202,0.134368942431483,0.134368942431483,Ammonium + C,45.2738888888889,0.5911,1
"34",X5,A3,3C02,Vibrionales,Vibrio splendidus,0.4741,0.3422,0.1319,0.1319,1,0.1419,0.0426585765695848,0.134368942431483,Ammonium + C,49.1644444444444,0.5911,1
"35",X5,A3,3C02,Vibrionales,Vibrio splendidus,0.5911,0.5503,0.0407999999999999,0.1319,1,0.0507999999999999,-0.0153027407709838,0.134368942431483,Ammonium + C,116.291388888889,0.5911,1
"36",X7,A4,3D04,Alteromonadales,Alteromonas stellipolaris,0.0646,0.0646,0,0.3141,1,0.01,NA,0.155390186131946,Ammonium + C,0,0.6617,1
"37",X7,A4,3D04,Alteromonadales,Alteromonas stellipolaris,0.0702,0.0724,0,0.3141,1,0.01,0,0.155390186131946,Ammonium + C,2.80833333333333,0.6617,1
"38",X7,A4,3D04,Alteromonadales,Alteromonas stellipolaris,0.2549,0.0839,0.171,0.3141,1,0.181,0.155390186131946,0.155390186131946,Ammonium + C,21.4447222222222,0.6617,1
"39",X7,A4,3D04,Alteromonadales,Alteromonas stellipolaris,0.3712,0.0914,0.2798,0.3141,1,0.2898,0.0884163002887932,0.155390186131946,Ammonium + C,26.7683333333333,0.6617,1
"40",X7,A4,3D04,Alteromonadales,Alteromonas stellipolaris,0.6617,0.3476,0.3141,0.3141,1,0.3241,0.00604472964484104,0.155390186131946,Ammonium + C,45.2738888888889,0.6617,1
"41",X7,A4,3D04,Alteromonadales,Alteromonas stellipolaris,0.635,0.3337,0.3013,0.3141,1,0.3113,-0.0103571410623861,0.155390186131946,Ammonium + C,49.1644444444444,0.6617,1
"42",X7,A4,3D04,Alteromonadales,Alteromonas stellipolaris,0.6573,0.5865,0.0708,0.3141,1,0.0808,-0.0200929764207693,0.155390186131946,Ammonium + C,116.291388888889,0.6617,1
"43",X9,A5,4B03,Alteromonadales,Alteromonas sp000597705,0.0604,0.0604,0,0.3932,1,0.01,NA,0.128486976738222,Ammonium + C,0,0.7076,1
"44",X9,A5,4B03,Alteromonadales,Alteromonas sp000597705,0.068,0.0685,0,0.3932,1,0.01,0,0.128486976738222,Ammonium + C,2.80833333333333,0.7076,1
"45",X9,A5,4B03,Alteromonadales,Alteromonas sp000597705,0.0773,0.0763,0.000999999999999987,0.3932,1,0.011,0.00511419784018069,0.128486976738222,Ammonium + C,21.4447222222222,0.7076,1
"46",X9,A5,4B03,Alteromonadales,Alteromonas sp000597705,0.0893,0.0775,0.0118,0.3932,1,0.0218,0.128486976738222,0.128486976738222,Ammonium + C,26.7683333333333,0.7076,1
"47",X9,A5,4B03,Alteromonadales,Alteromonas sp000597705,0.1623,0.0879,0.0744,0.3932,1,0.0844,0.0731487054113588,0.128486976738222,Ammonium + C,45.2738888888889,0.7076,1
"48",X9,A5,4B03,Alteromonadales,Alteromonas sp000597705,0.1878,0.1002,0.0876,0.3932,1,0.0976,0.0373494452764307,0.128486976738222,Ammonium + C,49.1644444444444,0.7076,1
"49",X9,A5,4B03,Alteromonadales,Alteromonas sp000597705,0.7076,0.3144,0.3932,0.3932,1,0.4032,0.0211324265550644,0.128486976738222,Ammonium + C,116.291388888889,0.7076,1
"50",X11,A6,4B04,Vibrionales,Vibrio splendidus,0.0623,0.0623,0,0.4108,1,0.01,NA,0.170441737717816,Ammonium + C,0,0.6561,1
"51",X11,A6,4B04,Vibrionales,Vibrio splendidus,0.0657,0.0655,0.000199999999999992,0.4108,1,0.0102,0.00705138063958892,0.170441737717816,Ammonium + C,2.80833333333333,0.6561,1
"52",X11,A6,4B04,Vibrionales,Vibrio splendidus,0.3163,0.0819,0.2344,0.4108,1,0.2444,0.170441737717816,0.170441737717816,Ammonium + C,21.4447222222222,0.6561,1
"53",X11,A6,4B04,Vibrionales,Vibrio splendidus,0.4432,0.112,0.3312,0.4108,1,0.3412,0.0626759884138952,0.170441737717816,Ammonium + C,26.7683333333333,0.6561,1
"54",X11,A6,4B04,Vibrionales,Vibrio splendidus,0.6394,0.2575,0.3819,0.4108,1,0.3919,0.00748628643826212,0.170441737717816,Ammonium + C,45.2738888888889,0.6561,1
"55",X11,A6,4B04,Vibrionales,Vibrio splendidus,0.6561,0.2453,0.4108,0.4108,1,0.4208,0.0182881224035765,0.170441737717816,Ammonium + C,49.1644444444444,0.6561,1
"56",X11,A6,4B04,Vibrionales,Vibrio splendidus,0.6024,0.2808,0.3216,0.4108,1,0.3316,-0.003548921228785,0.170441737717816,Ammonium + C,116.291388888889,0.6561,1
"57",X13,A7,4D01,Alteromonadales,Pseudoalteromonas marina,0.0692,0.0692,0,0.1412,1,0.01,NA,0.139470231562943,Ammonium + C,0,0.4159,1
"58",X13,A7,4D01,Alteromonadales,Pseudoalteromonas marina,0.0743,0.072,0.00230000000000001,0.1412,1,0.0123,0.0737142442911547,0.139470231562943,Ammonium + C,2.80833333333333,0.4159,1
"59",X13,A7,4D01,Alteromonadales,Pseudoalteromonas marina,0.0833,0.0845,0,0.1412,1,0.01,-0.011108062330023,0.139470231562943,Ammonium + C,21.4447222222222,0.4159,1
"60",X13,A7,4D01,Alteromonadales,Pseudoalteromonas marina,0.0893,0.1049,0,0.1412,1,0.01,0,0.139470231562943,Ammonium + C,26.7683333333333,0.4159,1
"61",X13,A7,4D01,Alteromonadales,Pseudoalteromonas marina,0.4159,0.2938,0.1221,0.1412,1,0.1321,0.139470231562943,0.139470231562943,Ammonium + C,45.2738888888889,0.4159,1
"62",X13,A7,4D01,Alteromonadales,Pseudoalteromonas marina,0.4023,0.2915,0.1108,0.1412,1,0.1208,-0.0229846161430268,0.139470231562943,Ammonium + C,49.1644444444444,0.4159,1
"63",X13,A7,4D01,Alteromonadales,Pseudoalteromonas marina,0.3587,0.2175,0.1412,0.1412,1,0.1512,0.00334392068792125,0.139470231562943,Ammonium + C,116.291388888889,0.4159,1
"64",X15,A8,4G03,Flavobacteriales,Tenacibaculum discolor,0.0617,0.0617,0,0.0042,0,0,0,0,Ammonium + C,0,0.095,0
"65",X15,A8,4G03,Flavobacteriales,Tenacibaculum discolor,0.0685,0.0659,0.00260000000000001,0.0042,0,0.00260000000000001,0,0,Ammonium + C,2.80833333333333,0.095,0
"66",X15,A8,4G03,Flavobacteriales,Tenacibaculum discolor,0.0713,0.0671,0.0042,0.0042,0,0.0042,0,0,Ammonium + C,21.4447222222222,0.095,0
"67",X15,A8,4G03,Flavobacteriales,Tenacibaculum discolor,0.0723,0.0698,0.0025,0.0042,0,0.0025,0,0,Ammonium + C,26.7683333333333,0.095,0
"68",X15,A8,4G03,Flavobacteriales,Tenacibaculum discolor,0.0744,0.0754,0,0.0042,0,0,0,0,Ammonium + C,45.2738888888889,0.095,0
"69",X15,A8,4G03,Flavobacteriales,Tenacibaculum discolor,0.0748,0.0721,0.00270000000000001,0.0042,0,0.00270000000000001,0,0,Ammonium + C,49.1644444444444,0.095,0
"70",X15,A8,4G03,Flavobacteriales,Tenacibaculum discolor,0.095,0.0942,0.000799999999999995,0.0042,0,0.000799999999999995,0,0,Ammonium + C,116.291388888889,0.095,0
"71",X17,A9,4G09,Alteromonadales,Pseudoalteromonas marina,0.0636,0.0636,0,0.1366,1,0.01,NA,0.108924523939869,Ammonium + C,0,0.2548,1
"72",X17,A9,4G09,Alteromonadales,Pseudoalteromonas marina,0.0655,0.0661,0,0.1366,1,0.01,0,0.108924523939869,Ammonium + C,2.80833333333333,0.2548,1
"73",X17,A9,4G09,Alteromonadales,Pseudoalteromonas marina,0.0724,0.0732,0,0.1366,1,0.01,0,0.108924523939869,Ammonium + C,21.4447222222222,0.2548,1
