Well;;B02;B03;B04;B05;B06;B07;B08;B09;B10;B11;B12;C02;C03;C04;C05;C06;C07;C08;C09;C10;C11;C12;D02;D03;D04;D05;D06;D07;D08;D09;D10;D11;D12;E02;E03;E04;E05;E06;E07;E08;E09;E10;E11;E12;F02;F03;F04;F05;F06;F07;F08;F09;F10;F11;F12;G02;G03;G04;G05;G06;G07;G08;G09;G10;G11;G12
Content;Time;Sample X1;Sample X2;Sample X3;Sample X4;Sample X5;Sample X6;Sample X7;Sample X8;Sample X9;Sample X10;Sample X11;Sample X12;Sample X13;Sample X14;Sample X15;Sample X16;Sample X17;Sample X18;Sample X19;Sample X20;Sample X21;Sample X22;Sample X23;Sample X24;Sample X25;Sample X26;Sample X27;Sample X28;Sample X29;Sample X30;Sample X31;Sample X32;Sample X33;Sample X34;Sample X35;Sample X36;Sample X37;Sample X38;Sample X39;Sample X40;Sample X41;Sample X42;Sample X43;Sample X44;Sample X45;Sample X46;Sample X47;Sample X48;Sample X49;Sample X50;Sample X51;Sample X52;Sample X53;Sample X54;Sample X55;Sample X56;Sample X57;Sample X58;Sample X59;Sample X60;Sample X61;Sample X62;Sample X63;Sample X64;Sample X65;Sample X66
Blank corrected based on Raw Data (600);0,0000;-0,0100;-0,0120;-0,0110;-0,0120;-0,0110;-0,0100;-0,0120;-0,0120;-0,0120;-0,0100;-0,0060;-0,0110;-0,0120;-0,0110;-0,0110;-0,0120;-0,0100;-0,0110;-0,0110;-0,0120;0,0080;0,0040;-0,0080;-0,0130;-0,0120;-0,0120;-0,0130;-0,0120;-0,0110;-0,0130;-0,0110;-0,0120;0,1710;-0,0060;-0,0120;-0,0120;-0,0130;-0,0110;0,0080;-0,0120;-0,0120;-0,0110;-0,0110;3,2400;-0,0110;-0,0110;-0,0110;-0,0110;-0,0120;-0,0120;-0,0120;-0,0110;-0,0130;-0,0110;-0,0070;-0,0070;-0,0110;-0,0100;-0,0090;-0,0110;-0,0100;-0,0110;-0,0110;-0,0130;-0,0080;-0,0004
Blank corrected based on Raw Data (600);0,1667;-0,0090;-0,0120;-0,0120;-0,0110;-0,0110;-0,0100;-0,0110;-0,0120;-0,0120;-0,0100;-0,0050;-0,0110;-0,0110;-0,0110;-0,0110;-0,0100;-0,0100;-0,0100;-0,0120;-0,0120;-0,0100;-0,0060;-0,0080;-0,0120;-0,0110;-0,0110;-0,0120;-0,0110;-0,0120;-0,0120;-0,0120;-0,0120;-0,0060;-0,0070;-0,0120;-0,0110;-0,0110;-0,0120;-0,0110;-0,0070;-0,0100;-0,0120;-0,0100;2,3530;-0,0090;-0,0110;-0,0110;-0,0110;-0,0100;-0,0100;-0,0120;-0,0120;-0,0110;-0,0090;-0,0070;-0,0080;-0,0100;-0,0110;-0,0090;-0,0110;-0,0090;-0,0090;-0,0110;-0,0110;-0,0070;-0,0030
Blank corrected based on Raw Data (600);0,3333;-0,0100;-0,0120;-0,0100;-0,0110;-0,0110;-0,0100;-0,0120;-0,0120;-0,0130;-0,0090;-0,0060;-0,0100;-0,0110;-0,0110;-0,0110;-0,0110;-0,0090;-0,0070;-0,0110;-0,0120;-0,0110;-0,0060;-0,0100;-0,0120;-0,0110;-0,0110;-0,0120;-0,0110;-0,0120;-0,0120;-0,0130;-0,0130;0,0130;-0,0060;-0,0120;-0,0120;-0,0130;-0,0120;-0,0050;-0,0120;-0,0120;-0,0120;-0,0110;1,6090;-0,0110;-0,0110;-0,0110;-0,0120;-0,0090;-0,0100;-0,0120;-0,0120;-0,0110;-0,0100;-0,0070;-0,0090;-0,0110;-0,0100;-0,0100;-0,0100;-0,0100;-0,0100;-0,0100;-0,0020;-0,0080;0,0190
Blank corrected based on Raw Data (600);0,5000;-0,0100;-0,0120;-0,0110;-0,0110;-0,0110;-0,0110;-0,0120;-0,0120;-0,0120;-0,0090;-0,0060;-0,0100;-0,0120;-0,0110;-0,0100;-0,0110;-0,0080;-0,0090;-0,0120;0,0170;-0,0110;-0,0080;-0,0100;-0,0130;-0,0120;-0,0120;-0,0110;-0,0110;-0,0120;-0,0120;-0,0120;-0,0130;-0,0050;-0,0060;-0,0120;-0,0120;-0,0120;-0,0120;0,0130;-0,0120;0,0310;-0,0110;-0,0100;1,2710;-0,0110;-0,0110;-0,0110;-0,0120;-0,0100;-0,0090;-0,0130;-0,0120;-0,0120;-0,0100;-0,0080;-0,0080;-0,0120;-0,0100;0,0060;-0,0100;-0,0090;-0,0030;-0,0090;0,0110;-0,0090;-0,0040
Blank corrected based on Raw Data (600);0,6667;-0,0100;-0,0130;-0,0110;-0,0110;-0,0120;-0,0110;-0,0110;-0,0120;-0,0120;-0,0090;-0,0060;-0,0110;-0,0110;-0,0100;-0,0110;-0,0110;-0,0090;-0,0110;-0,0120;-0,0070;-0,0110;-0,0060;-0,0100;-0,0120;-0,0120;-0,0110;-0,0120;0,0060;-0,0120;-0,0110;-0,0120;-0,0110;-0,0070;-0,0070;-0,0120;-0,0090;-0,0120;-0,0120;0,0180;-0,0120;0,0150;-0,0120;-0,0100;1,3050;-0,0110;-0,0110;-0,0120;-0,0120;-0,0090;-0,0100;-0,0120;-0,0120;-0,0110;-0,0090;-0,0070;-0,0090;-0,0100;-0,0090;-0,0070;-0,0100;-0,0090;0,0070;-0,0100;-0,0100;-0,0080;-0,0030
Blank corrected based on Raw Data (600);0,8333;-0,0100;-0,0110;-0,0110;-0,0110;-0,0110;-0,0100;-0,0120;-0,0110;-0,0120;-0,0090;-0,0060;-0,0100;-0,0110;-0,0100;-0,0110;-0,0110;-0,0080;-0,0110;-0,0120;-0,0080;-0,0110;-0,0070;-0,0090;-0,0120;-0,0110;-0,0110;-0,0130;-0,0100;-0,0120;-0,0130;-0,0120;-0,0120;-0,0060;-0,0070;-0,0120;-0,0110;-0,0110;-0,0130;0,0210;-0,0130;-0,0110;-0,0120;-0,0100;0,9390;-0,0110;-0,0110;-0,0100;-0,0120;-0,0100;-0,0110;-0,0110;-0,0120;-0,0110;-0,0100;-0,0070;-0,0090;-0,0110;-0,0090;-0,0080;-0,0090;0,0160;-0,0090;-0,0100;-0,0120;-0,0060;-0,0040
Blank corrected based on Raw Data (600);1,0000;-0,0100;-0,0110;-0,0110;-0,0120;-0,0110;-0,0110;-0,0110;-0,0120;-0,0120;-0,0080;-0,0050;-0,0100;-0,0110;-0,0100;-0,0120;-0,0100;-0,0090;-0,0100;-0,0110;0,0160;-0,0100;-0,0060;-0,0090;-0,0120;-0,0110;-0,0110;-0,0120;-0,0110;-0,0120;-0,0120;-0,0120;-0,0130;-0,0070;-0,0070;-0,0130;-0,0100;-0,0110;-0,0120;0,0130;-0,0120;-0,0110;-0,0120;-0,0100;1,1350;-0,0100;-0,0100;-0,0110;-0,0120;-0,0100;-0,0100;-0,0110;-0,0110;-0,0110;-0,0090;-0,0070;-0,0080;-0,0100;0,0040;-0,0090;-0,0100;-0,0100;-0,0060;-0,0100;-0,0080;-0,0080;-0,0030
Blank corrected based on Raw Data (600);1,1667;-0,0090;-0,0110;-0,0110;-0,0110;-0,0110;-0,0100;-0,0110;-0,0110;-0,0110;-0,0090;-0,0050;-0,0100;-0,0110;-0,0090;-0,0110;-0,0110;-0,0080;-0,0070;-0,0120;-0,0120;-0,0110;-0,0060;-0,0080;-0,0120;-0,0110;-0,0110;-0,0120;-0,0110;-0,0120;-0,0120;-0,0110;-0,0120;0,0060;-0,0070;-0,0120;-0,0110;-0,0110;-0,0120;0,0090;-0,0120;-0,0110;-0,0120;-0,0100;1,0760;-0,0100;-0,0090;-0,0110;-0,0110;-0,0110;-0,0080;-0,0120;-0,0110;-0,0120;-0,0100;-0,0070;-0,0080;-0,0100;-0,0090;-0,0100;-0,0070;-0,0090;-0,0060;-0,0100;-0,0100;-0,0080;-0,0040
Blank corrected based on Raw Data (600);1,3333;-0,0100;-0,0100;-0,0110;-0,0110;-0,0100;-0,0110;-0,0120;-0,0120;-0,0130;-0,0090;-0,0060;-0,0090;-0,0100;-0,0110;-0,0100;-0,0110;-0,0090;-0,0050;-0,0120;-0,0090;-0,0110;-0,0070;-0,0090;-0,0120;-0,0110;-0,0110;-0,0130;-0,0110;-0,0120;-0,0130;-0,0120;-0,0120;-0,0080;-0,0060;-0,0120;-0,0120;-0,0110;-0,0120;-0,0020;-0,0110;-0,0120;-0,0110;-0,0110;0,8310;-0,0110;-0,0100;-0,0120;-0,0100;-0,0110;-0,0110;-0,0120;-0,0120;-0,0120;-0,0100;-0,0070;-0,0090;-0,0110;-0,0100;0,0250;-0,0070;-0,0100;-0,0070;-0,0110;-0,0090;-0,0080;-0,0040
Blank corrected based on Raw Data (600);1,5000;-0,0100;-0,0110;-0,0090;-0,0100;-0,0120;-0,0100;-0,0110;-0,0120;-0,0120;-0,0100;-0,0060;-0,0100;-0,0110;-0,0110;-0,0120;-0,0110;-0,0080;-0,0120;-0,0100;-0,0120;-0,0110;-0,0070;-0,0080;-0,0120;-0,0110;-0,0110;-0,0100;-0,0120;-0,0120;-0,0120;-0,0120;-0,0120;-0,0070;-0,0080;-0,0120;-0,0110;-0,0130;-0,0130;0,0050;-0,0120;-0,0120;-0,0120;-0,0100;0,7910;-0,0110;-0,0100;-0,0110;-0,0110;-0,0120;-0,0110;-0,0130;-0,0120;-0,0120;-0,0090;-0,0060;-0,0100;-0,0110;-0,0100;-0,0100;-0,0110;-0,0060;0,0070;-0,0110;-0,0110;-0,0080;-0,0040
Blank corrected based on Raw Data (600);1,6667;-0,0100;-0,0100;-0,0080;-0,0110;-0,0100;-0,0110;-0,0110;-0,0110;-0,0120;-0,0090;-0,0050;-0,0080;-0,0110;-0,0100;-0,0110;-0,0110;-0,0090;-0,0050;-0,0110;0,0040;-0,0120;-0,0060;-0,0080;-0,0110;-0,0110;-0,0120;-0,0130;-0,0110;-0,0120;-0,0120;-0,0120;-0,0120;-0,0070;-0,0070;-0,0120;-0,0100;-0,0110;-0,0120;-0,0100;-0,0120;-0,0120;-0,0120;-0,0110;0,7500;-0,0090;-0,0100;-0,0100;-0,0100;-0,0120;-0,0100;-0,0120;-0,0110;-0,0110;-0,0100;-0,0070;-0,0090;-0,0110;-0,0100;-0,0100;-0,0110;-0,0090;0,0060;-0,0100;-0,0110;-0,0080;-0,0040
Blank corrected based on Raw Data (600);1,8333;-0,0100;-0,0090;-0,0080;-0,0110;-0,0100;-0,0100;-0,0110;-0,0120;-0,0110;-0,0090;-0,0050;-0,0070;-0,0110;-0,0080;-0,0100;-0,0090;-0,0080;-0,0130;-0,0070;0,0240;-0,0120;-0,0060;-0,0100;-0,0120;-0,0100;-0,0110;-0,0130;-0,0110;-0,0120;-0,0120;-0,0110;-0,0100;-0,0070;-0,0070;-0,0130;-0,0120;-0,0120;-0,0130;-0,0020;-0,0120;-0,0120;-0,0130;-0,0060;0,7500;-0,0090;-0,0100;-0,0080;-0,0100;-0,0020;-0,0090;-0,0120;-0,0110;-0,0120;-0,0100;-0,0070;-0,0090;-0,0090;-0,0100;-0,0110;-0,0110;-0,0100;-0,0090;-0,0110;0,0009;-0,0080;-0,0040
Blank corrected based on Raw Data (600);2,0000;-0,0090;-0,0100;-0,0080;-0,0100;-0,0090;-0,0110;-0,0110;-0,0120;-0,0120;-0,0090;-0,0060;-0,0080;-0,0090;-0,0080;-0,0110;-0,0110;-0,0080;-0,0020;-0,0060;0,0170;-0,0110;-0,0070;-0,0100;-0,0110;-0,0100;-0,0060;-0,0120;-0,0110;-0,0130;-0,0120;-0,0090;-0,0120;-0,0050;-0,0060;-0,0130;-0,0100;-0,0090;-0,0120;-0,0060;-0,0110;-0,0070;-0,0120;-0,0120;0,7280;-0,0090;-0,0100;-0,0050;-0,0090;-0,0030;-0,0020;-0,0120;-0,0120;-0,0120;-0,0090;-0,0070;-0,0080;-0,0100;-0,0090;-0,0100;-0,0110;-0,0090;0,0130;-0,0090;-0,0110;-0,0080;-0,0040
Blank corrected based on Raw Data (600);2,1667;-0,0100;-0,0090;-0,0080;-0,0100;-0,0070;-0,0100;-0,0110;-0,0110;-0,0120;-0,0080;-0,0060;-0,0070;-0,0090;-0,0070;-0,0110;-0,0090;-0,0080;-0,0010;-0,0120;-0,0020;-0,0120;-0,0060;-0,0090;-0,0120;-0,0100;-0,0110;-0,0110;-0,0110;-0,0120;-0,0120;-0,0120;-0,0120;-0,0070;-0,0070;-0,0130;-0,0080;-0,0110;-0,0120;0,0240;-0,0040;-0,0020;-0,0110;-0,0100;0,7090;-0,0100;-0,0090;-0,0050;-0,0090;-0,0030;-0,0070;-0,0120;-0,0120;-0,0100;-0,0100;-0,0060;-0,0080;-0,0120;-0,0090;-0,0090;-0,0110;-0,0090;0,0009;-0,0110;-0,0110;-0,0080;-0,0040
Blank corrected based on Raw Data (600);2,3333;-0,0090;-0,0090;-0,0080;-0,0100;-0,0080;-0,0100;-0,0110;-0,0120;-0,0110;-0,0100;-0,0060;-0,0080;-0,0080;-0,0060;-0,0100;-0,0080;-0,0080;-0,0002;-0,0110;-0,0120;-0,0110;-0,0050;-0,0090;-0,0110;-0,0120;-0,0110;-0,0110;-0,0100;-0,0120;-0,0120;-0,0110;-0,0120;-0,0050;-0,0070;-0,0120;-0,0090;-0,0120;-0,0120;0,0260;-0,0120;-0,0030;-0,0110;-0,0110;0,7080;-0,0080;-0,0090;-0,0040;-0,0070;-0,0007;-0,0100;-0,0130;-0,0120;-0,0120;-0,0100;-0,0070;-0,0090;-0,0060;-0,0090;-0,0080;-0,0100;-0,0090;-0,0005;-0,0110;-0,0110;-0,0070;-0,0040
Blank corrected based on Raw Data (600);2,5000;-0,0090;-0,0090;-0,0070;-0,0100;-0,0070;-0,0090;-0,0110;-0,0120;-0,0120;-0,0100;-0,0060;-0,0060;-0,0070;-0,0050;-0,0110;-0,0090;-0,0090;-0,0110;-0,0110;-0,0120;-0,0100;-0,0060;-0,0090;-0,0110;-0,0110;-0,0100;-0,0110;-0,0110;-0,0130;-0,0130;-0,0120;-0,0130;-0,0060;-0,0060;-0,0120;-0,0070;-0,0120;-0,0130;0,0190;-0,0120;-0,0030;-0,0120;-0,0110;0,6750;-0,0090;-0,0090;-0,0030;-0,0070;-0,0120;-0,0070;-0,0130;-0,0120;-0,0120;-0,0100;-0,0080;-0,0080;-0,0110;-0,0100;-0,0090;-0,0110;-0,0100;0,0080;-0,0120;-0,0120;-0,0090;-0,0040
Blank corrected based on Raw Data (600);2,6667;-0,0090;-0,0080;-0,0080;-0,0090;-0,0040;-0,0090;-0,0110;-0,0120;-0,0130;-0,0090;-0,0060;-0,0070;-0,0060;-0,0050;-0,0100;-0,0080;-0,0080;-0,0110;-0,0100;-0,0120;-0,0090;-0,0040;-0,0090;-0,0110;-0,0120;-0,0100;-0,0130;-0,0090;-0,0130;-0,0120;-0,0120;-0,0110;-0,0070;-0,0070;-0,0120;-0,0050;0,0100;-0,0120;0,0190;-0,0120;-0,0020;-0,0120;-0,0090;0,6670;-0,0090;-0,0070;-0,0070;-0,0060;-0,0010;0,0140;-0,0120;-0,0110;-0,0110;-0,0090;-0,0070;-0,0100;-0,0110;-0,0080;-0,0100;-0,0110;-0,0100;0,0040;-0,0110;-0,0050;-0,0080;-0,0040
Blank corrected based on Raw Data (600);2,8333;-0,0090;-0,0090;-0,0060;-0,0050;-0,0030;-0,0070;-0,0110;-0,0120;-0,0120;-0,0080;-0,0060;-0,0110;-0,0070;-0,0060;-0,0100;-0,0070;-0,0080;-0,0120;-0,0090;-0,0120;-0,0100;-0,0060;-0,0090;-0,0110;-0,0120;-0,0100;-0,0130;-0,0110;-0,0120;-0,0120;-0,0130;-0,0130;-0,0060;-0,0060;-0,0110;-0,0070;-0,0120;-0,0120;0,0010;-0,0110;-0,0007;-0,0120;-0,0100;0,6530;-0,0070;-0,0080;-0,0080;-0,0110;-0,0010;0,0030;-0,0110;-0,0110;-0,0110;-0,0080;-0,0070;-0,0090;-0,0070;-0,0060;-0,0090;-0,0120;-0,0080;0,0070;-0,0110;-0,0100;-0,0090;-0,0040
Blank corrected based on Raw Data (600);3,0000;-0,0100;-0,0090;-0,0080;-0,0090;-0,0040;-0,0090;-0,0110;-0,0120;-0,0110;-0,0090;-0,0060;-0,0100;-0,0040;-0,0090;-0,0100;-0,0060;-0,0090;-0,0120;-0,0110;-0,0130;-0,0100;-0,0005;-0,0100;-0,0120;-0,0110;-0,0110;-0,0110;-0,0110;-0,0120;-0,0120;-0,0130;-0,0120;-0,0070;-0,0070;-0,0130;-0,0100;-0,0110;-0,0120;-0,0050;-0,0110;-0,0080;-0,0120;-0,0110;0,7870;-0,0060;-0,0100;-0,0070;-0,0110;-0,0110;0,0120;-0,0110;-0,0110;-0,0120;-0,0100;-0,0070;-0,0070;-0,0110;-0,0050;-0,0080;-0,0110;-0,0090;-0,0100;-0,0110;0,0210;-0,0080;-0,0040
Blank corrected based on Raw Data (600);3,1667;-0,0100;-0,0080;-0,0090;-0,0110;-0,0040;-0,0090;-0,0120;-0,0120;-0,0120;-0,0090;-0,0060;-0,0100;-0,0060;-0,0100;-0,0100;-0,0100;-0,0070;-0,0130;-0,0080;-0,0130;-0,0110;-0,0060;-0,0100;-0,0110;-0,0120;-0,0110;-0,0120;-0,0100;-0,0120;-0,0100;-0,0130;-0,0130;-0,0001;-0,0060;-0,0120;-0,0060;-0,0050;-0,0110;-0,0040;-0,0120;-0,0006;-0,0120;-0,0120;0,6270;-0,0070;-0,0120;-0,0100;-0,0120;-0,0090;-0,0090;-0,0130;-0,0110;-0,0120;-0,0090;-0,0060;-0,0090;-0,0110;-0,0060;-0,0100;-0,0110;-0,0090;-0,0060;-0,0120;-0,0090;-0,0090;-0,0050
Blank corrected based on Raw Data (600);3,3333;-0,0090;-0,0070;-0,0090;-0,0110;-0,0030;-0,0090;-0,0110;-0,0120;-0,0130;-0,0090;-0,0050;-0,0100;-0,0060;-0,0100;-0,0100;-0,0120;-0,0070;-0,0130;-0,0080;-0,0120;-0,0110;-0,0060;-0,0080;-0,0090;-0,0110;-0,0100;-0,0120;-0,0090;-0,0120;-0,0110;-0,0120;-0,0120;-0,0070;-0,0060;-0,0110;-0,0050;-0,0120;-0,0130;-0,0050;-0,0120;-0,0005;-0,0120;-0,0100;0,6150;-0,0090;-0,0110;-0,0110;-0,0110;-0,0080;-0,0070;-0,0120;-0,0110;-0,0110;-0,0090;-0,0060;-0,0080;-0,0110;-0,0110;-0,0090;-0,0110;-0,0090;-0,0090;-0,0110;-0,0100;-0,0080;0,0050
Blank corrected based on Raw Data (600);3,5000;-0,0100;-0,0060;-0,0090;-0,0100;-0,0030;-0,0090;-0,0120;-0,0120;-0,0120;-0,0090;-0,0060;-0,0110;-0,0070;-0,0100;-0,0100;-0,0110;-0,0070;-0,0130;-0,0080;-0,0130;-0,0080;-0,0020;-0,0100;-0,0070;-0,0120;-0,0100;-0,0130;-0,0100;-0,0120;-0,0120;-0,0130;-0,0130;-0,0070;-0,0060;-0,0120;-0,0060;-0,0110;-0,0130;-0,0080;-0,0120;-0,0007;-0,0120;-0,0100;0,5900;-0,0110;-0,0110;-0,0120;-0,0100;-0,0120;-0,0090;-0,0110;-0,0120;-0,0130;-0,0100;-0,0070;-0,0080;-0,0110;-0,0100;-0,0090;-0,0100;-0,0100;-0,0110;-0,0110;-0,0110;-0,0090;-0,0050
Blank corrected based on Raw Data (600);3,6667;-0,0090;-0,0050;-0,0080;-0,0100;-0,0030;-0,0090;-0,0110;-0,0120;-0,0120;-0,0100;-0,0050;-0,0110;-0,0060;-0,0100;-0,0100;-0,0120;-0,0080;-0,0100;-0,0070;-0,0110;-0,0070;0,0010;-0,0100;-0,0070;-0,0110;-0,0100;-0,0130;-0,0110;-0,0130;-0,0120;-0,0120;-0,0110;0,0008;-0,0070;-0,0110;-0,0050;-0,0110;0,0080;-0,0050;-0,0120;-0,0009;-0,0120;-0,0110;0,5760;-0,0110;-0,0120;-0,0120;-0,0090;-0,0040;0,0050;-0,0120;-0,0110;-0,0040;-0,0100;-0,0080;-0,0090;-0,0120;-0,0100;-0,0100;-0,0110;-0,0090;-0,0090;-0,0100;-0,0110;-0,0070;-0,0040
