Well;Time;B02;B03;B04;B05;B06;B07;B08;B09;B10;B11;B12;C01;C02;C03;C04;C05;C06;C07;C08;C09;C10;C11;C12;D02;D03;D04;D05;D06;D07;D08;D09;D10;D11;D12;E02;E03;E04;E05;E06;E07;E08;E09;E10;E11;E12;F02;F03;F04;F05;F06;F07;F08;F09;F10;F11;F12;G02;G03;G04;G05;G06;G07;G08;G09;G10;G11;G12
Content;Time;Sample X1;Sample X2;Sample X3;Sample X4;Sample X5;Sample X6;Sample X7;Sample X8;Sample X9;Sample X10;Sample X11;Blank B;Sample X12;Sample X13;Sample X14;Sample X15;Sample X16;Sample X17;Sample X18;Sample X19;Sample X20;Sample X21;Sample X22;Sample X23;Sample X24;Sample X25;Sample X26;Sample X27;Sample X28;Sample X29;Sample X30;Sample X31;Sample X32;Sample X33;Sample X34;Sample X35;Sample X36;Sample X37;Sample X38;Sample X39;Sample X40;Sample X41;Sample X42;Sample X43;Sample X44;Sample X45;Sample X46;Sample X47;Sample X48;Sample X49;Sample X50;Sample X51;Sample X52;Sample X53;Sample X54;Sample X55;Sample X56;Sample X57;Sample X58;Sample X59;Sample X60;Sample X61;Sample X62;Sample X63;Sample X64;Sample X65;Sample X66
Blank corrected based on Raw Data (600);0,00;0,161;0,201;0,206;0,211;0,234;0,261;0,275;0,257;0,26;0,277;-0,002;;0,196;0,258;0,21;0,228;0,249;0,259;0,248;0,263;0,262;0,265;-0,002;0,2;0,205;0,216;0,218;0,223;0,238;0,263;0,277;0,26;0,259;-0,003;0,202;0,221;0,21;0,219;0,217;0,229;0,261;0,268;0,257;0,266;-0,003;0,206;0,225;0,206;0,206;0,231;0,227;0,245;0,247;0,243;0,271;0,002;0,132;0,213;0,219;0,241;0,253;0,244;0,258;0,25;0,244;0,191;-0,006
Blank corrected based on Raw Data (600);0,17;-0,007;-0,009;-0,01;-0,011;-0,01;-0,008;-0,009;-0,01;-0,01;-0,004;-0,002;;-0,008;-0,01;-0,011;-0,01;-0,012;-0,008;-0,008;-0,009;-0,011;-0,007;-0,006;-0,009;-0,01;-0,01;-0,009;0,139;0,207;0,245;0,259;0,183;-0,008;-0,005;-0,009;-0,009;-0,009;-0,01;0,088;0,179;0,224;0,223;0,131;-0,006;-0,006;-0,009;-0,008;-0,011;-0,01;-0,011;-0,008;-0,008;-0,009;-0,011;-0,004;-0,006;-0,007;-0,01;-0,01;-0,009;-0,011;-0,007;-0,009;-0,01;-0,008;-0,004;-0,006
Blank corrected based on Raw Data (600);0,33;-0,007;-0,01;-0,009;-0,01;-0,011;-0,008;-0,008;-0,01;-0,011;-0,004;-0,003;;-0,008;-0,009;-0,01;-0,01;-0,011;-0,007;-0,009;-0,01;-0,01;-0,006;-0,006;-0,008;-0,01;-0,011;-0,01;-0,011;-0,008;-0,008;-0,01;-0,01;-0,008;-0,006;-0,008;-0,01;-0,01;-0,01;-0,011;-0,008;-0,008;-0,009;-0,011;-0,005;-0,005;-0,007;-0,008;-0,011;-0,011;-0,011;-0,007;-0,009;-0,01;-0,01;-0,004;-0,007;-0,006;-0,009;-0,01;-0,009;-0,011;-0,005;-0,009;-0,009;-0,009;-0,004;-0,006
Blank corrected based on Raw Data (600);0,50;-0,007;-0,009;-0,009;-0,01;-0,01;-0,007;-0,008;-0,01;-0,01;-0,003;-0,004;;-0,008;-0,01;-0,009;-0,009;-0,012;-0,007;-0,008;-0,01;-0,011;-0,006;-0,006;-0,009;-0,009;-0,009;-0,01;-0,011;-0,006;-0,008;-0,01;-0,011;-0,008;-0,006;-0,008;-0,009;-0,009;-0,01;-0,009;-0,007;-0,005;-0,009;-0,01;-0,005;-0,006;-0,006;-0,008;-0,009;-0,01;-0,01;-0,006;-0,009;-0,011;-0,01;-0,004;-0,005;-0,006;-0,009;-0,01;-0,008;-0,01;-0,006;-0,008;-0,01;-0,008;-0,004;-0,006
Blank corrected based on Raw Data (600);0,67;-0,007;-0,009;-0,009;-0,011;-0,01;-0,006;-0,009;-0,01;-0,011;-0,004;-0,002;;-0,007;-0,01;-0,01;-0,009;-0,011;-0,006;-0,007;-0,01;-0,008;-0,005;-0,006;-0,008;-0,009;-0,009;-0,01;-0,011;-0,007;-0,006;-0,01;-0,011;-0,007;-0,006;-0,009;-0,01;-0,009;-0,01;-0,01;-0,006;-0,00015;-0,009;-0,009;0,00015;-0,006;-0,008;-0,008;-0,01;-0,01;-0,01;-0,008;-0,007;-0,009;-0,011;-0,00015;-0,006;-0,005;-0,009;-0,009;-0,008;-0,01;-0,005;-0,009;-0,01;-0,009;-0,003;-0,006
Blank corrected based on Raw Data (600);0,83;-0,006;-0,01;-0,009;-0,01;-0,011;-0,007;-0,009;-0,01;-0,011;-0,003;-0,004;;-0,008;-0,009;-0,011;-0,009;-0,011;-0,006;-0,008;-0,01;-0,011;-0,004;-0,006;-0,008;-0,009;-0,009;-0,01;-0,011;-0,007;-0,007;-0,01;-0,011;-0,001;-0,005;-0,008;-0,009;-0,011;-0,01;-0,01;-0,007;-0,006;-0,009;-0,011;-0,004;-0,005;-0,007;-0,009;-0,009;-0,009;-0,011;-0,008;-0,007;-0,009;-0,011;0,000386667;-0,007;-0,005;-0,009;-0,009;-0,008;-0,01;-0,005;-0,007;-0,009;-0,009;-0,004;-0,006
Blank corrected based on Raw Data (600);1,00;-0,006;-0,009;-0,009;-0,01;-0,011;-0,006;-0,008;-0,01;-0,01;-0,003;-0,002;;-0,007;-0,01;-0,009;-0,009;-0,01;-0,006;-0,008;-0,01;-0,01;-0,004;-0,006;-0,008;-0,01;-0,01;-0,011;-0,011;-0,007;-0,007;-0,01;-0,012;-0,006;-0,006;-0,008;-0,009;-0,009;-0,011;-0,011;-0,007;-0,007;-0,009;-0,011;0,006;-0,005;-0,007;-0,008;-0,009;-0,009;-0,012;-0,005;-0,008;-0,009;-0,011;-0,001;-0,006;-0,004;-0,009;-0,009;-0,008;-0,011;-0,005;-0,009;-0,009;-0,008;-0,004;-0,006
Blank corrected based on Raw Data (600);1,17;-0,006;-0,01;-0,009;-0,01;-0,011;-0,006;-0,009;-0,011;-0,011;-0,000876667;-0,004;;-0,007;-0,008;-0,011;-0,009;-0,012;-0,006;-0,008;-0,009;-0,01;-0,005;-0,005;-0,007;-0,009;-0,009;-0,01;-0,011;-0,006;-0,006;-0,01;-0,01;-0,006;-0,005;-0,008;-0,008;-0,01;-0,007;-0,01;-0,005;-0,000976667;-0,009;-0,009;0,000223333;-0,005;-0,006;-0,008;-0,01;-0,009;-0,011;-0,005;-0,009;-0,009;-0,01;0,000223333;-0,006;-0,004;-0,008;-0,009;-0,008;-0,011;-0,005;-0,009;-0,009;-0,009;-0,003;-0,006
Blank corrected based on Raw Data (600);1,33;-0,006;-0,009;-0,01;-0,009;-0,011;-0,006;-0,008;-0,01;-0,011;-0,003;-0,003;;-0,007;-0,009;-0,01;-0,009;-0,012;-0,006;-0,007;-0,01;-0,01;-0,004;-0,004;-0,006;-0,009;-0,009;-0,01;-0,011;-0,007;-0,007;-0,009;-0,011;-0,003;-0,005;-0,007;-0,009;-0,009;-0,01;-0,01;-0,005;-0,003;-0,009;-0,009;-0,000303333;-0,006;-0,006;-0,009;-0,009;-0,01;-0,011;-0,005;-0,007;-0,01;-0,011;-0,003;-0,007;-0,005;-0,008;-0,01;-0,009;-0,011;-0,004;-0,008;-0,008;-0,007;-0,003;-0,006
Blank corrected based on Raw Data (600);1,50;-0,006;-0,008;-0,008;-0,01;-0,01;-0,004;-0,008;-0,01;-0,011;-0,001;-0,004;;-0,006;-0,009;-0,009;-0,009;-0,011;-0,005;-0,007;-0,009;-0,011;-0,004;-0,005;-0,006;-0,009;-0,009;-0,011;-0,01;-0,007;-0,006;-0,01;-0,01;-0,002;-0,004;-0,008;-0,009;-0,008;-0,008;-0,011;-0,005;-0,008;-0,008;-0,009;-0,000496667;-0,005;-0,007;-0,008;-0,009;-0,009;-0,01;-0,004;-0,006;-0,009;-0,011;-0,002;-0,007;-0,004;-0,01;-0,009;-0,008;-0,01;-0,004;0,000803333;-0,009;-0,008;-0,003;-0,006
Blank corrected based on Raw Data (600);1,67;-0,005;-0,009;-0,009;-0,008;-0,01;-0,003;-0,006;-0,009;-0,011;-0,001;-0,004;;-0,006;-0,008;-0,01;-0,008;-0,011;-0,005;-0,007;-0,008;-0,01;-0,002;-0,005;-0,007;-0,009;-0,01;-0,011;-0,012;-0,005;-0,007;-0,01;-0,01;-0,004;-0,002;-0,006;-0,008;-0,008;-0,008;-0,01;-0,004;-0,005;-0,008;-0,009;0,005;-0,006;-0,006;-0,007;-0,008;-0,01;-0,011;-0,002;-0,007;-0,009;-0,01;-0,002;-0,006;-0,003;-0,007;-0,009;-0,007;-0,01;-0,004;-0,007;-0,008;-0,009;-0,003;-0,005
Blank corrected based on Raw Data (600);1,83;-0,006;-0,008;-0,008;-0,009;-0,011;-0,003;-0,008;-0,01;-0,011;-0,000453333;-0,004;;-0,006;-0,01;-0,01;-0,008;-0,01;-0,005;-0,005;-0,009;-0,01;-0,003;-0,005;-0,006;-0,009;-0,01;-0,009;-0,01;-0,004;-0,008;-0,009;-0,011;-0,004;-0,006;-0,006;-0,008;-0,007;-0,008;-0,01;-0,004;-0,008;-0,008;-0,01;0,012;-0,005;-0,007;-0,007;-0,008;-0,009;-0,011;-0,001;-0,006;-0,009;-0,01;-0,002;-0,006;-0,002;-0,008;-0,009;-0,008;-0,01;-0,005;-0,007;-0,007;-0,008;-0,002;-0,005
Blank corrected based on Raw Data (600);2,00;-0,006;-0,007;-0,002;-0,008;-0,011;-0,001;0,011;-0,009;-0,011;-0,00041;-0,002;;-0,005;-0,009;-0,009;-0,008;-0,01;-0,005;-0,003;-0,008;-0,009;-0,003;-0,003;-0,007;-0,009;-0,009;-0,009;-0,011;-0,006;-0,008;-0,009;-0,011;-0,004;-0,005;-0,006;-0,008;-0,006;-0,008;-0,011;-0,004;-0,007;-0,008;-0,009;0,003;-0,006;-0,007;-0,007;-0,008;-0,008;-0,01;0,00069;-0,008;-0,009;-0,011;-0,00051;-0,007;-0,003;-0,008;-0,009;-0,007;-0,01;-0,005;-0,008;-0,009;-0,008;-0,00071;-0,007
Blank corrected based on Raw Data (600);2,17;-0,006;-0,005;-0,000626667;-0,008;-0,011;-0,000626667;-0,001;-0,009;-0,012;0,000573333;-0,001;;-0,005;-0,007;-0,009;-0,006;-0,011;-0,004;-0,006;-0,008;-0,007;-0,001;-0,003;-0,008;-0,008;-0,009;-0,01;-0,011;-0,004;-0,006;-0,008;-0,01;-0,003;-0,002;-0,005;-0,008;-0,007;-0,009;-0,01;-0,004;-0,008;-0,008;-0,011;-0,000926667;-0,003;-0,006;-0,007;-0,007;-0,008;-0,01;0,003;-0,007;-0,008;-0,011;-0,001;-0,007;-0,002;-0,008;-0,009;-0,008;-0,011;-0,004;-0,006;-0,008;-0,009;0,000473333;-0,005
Blank corrected based on Raw Data (600);2,33;-0,006;-0,004;-0,00037;-0,008;-0,009;0,001;0,00053;-0,009;-0,011;0,00093;-0,003;;-0,005;-0,006;-0,009;-0,006;-0,012;-0,005;-0,006;-0,008;-0,01;-0,002;-0,004;-0,007;-0,006;-0,009;-0,009;-0,01;-0,005;-0,007;-0,007;-0,01;-0,004;-0,005;-0,005;-0,006;-0,006;-0,007;-0,01;-0,005;-0,008;-0,007;-0,009;0,002;-0,006;-0,006;-0,008;-0,007;-0,008;-0,01;0,004;-0,008;-0,008;-0,01;0,00033;-0,006;-0,001;-0,008;-0,009;-0,007;-0,011;-0,004;-0,007;-0,008;-0,009;-0,00077;-0,005
Blank corrected based on Raw Data (600);2,50;-0,005;-0,005;0,003;-0,007;-0,011;0,002;0,004;-0,009;-0,01;0,002;-0,004;;-0,005;0,001;-0,009;-0,006;-0,011;-0,005;-0,005;-0,008;-0,01;-0,00038;-0,004;-0,007;-0,008;-0,007;-0,004;-0,011;-0,004;-0,006;-0,006;-0,01;0,00022;-0,004;-0,004;-0,008;-0,006;-0,006;-0,01;-0,004;-0,006;-0,007;-0,01;0,002;-0,006;-0,006;-0,007;-0,007;-0,007;-0,01;0,007;-0,007;-0,008;-0,01;0,001;-0,006;0,00072;-0,007;-0,007;-0,005;-0,01;-0,003;-0,008;-0,007;-0,01;-0,00008;-0,003
Blank corrected based on Raw Data (600);2,67;-0,005;-0,004;0,002;-0,005;-0,011;0,004;0,004;-0,008;-0,01;0,002;-0,001;;-0,005;-0,002;-0,008;-0,004;-0,01;-0,004;-0,004;-0,007;-0,008;0,000813333;0,003;-0,006;-0,009;-0,007;-0,009;-0,01;-0,004;-0,009;-0,006;-0,01;0,004;-0,002;-0,004;-0,006;-0,003;-0,006;-0,008;-0,003;-0,005;-0,007;-0,007;0,003;-0,004;-0,005;-0,008;-0,006;-0,006;-0,01;0,01;-0,007;-0,007;-0,01;0,001;-0,006;0,001;-0,007;-0,007;-0,007;-0,01;-0,004;-0,007;-0,007;-0,008;0,002;-0,004
Blank corrected based on Raw Data (600);2,83;-0,004;-0,008;0,002;-0,006;-0,011;0,007;0,002;-0,008;-0,011;0,002;0,003;;-0,003;-0,002;-0,007;-0,006;-0,011;-0,005;-0,005;-0,007;-0,01;-0,000893333;0,000406667;-0,004;-0,008;-0,006;-0,008;-0,01;-0,003;-0,007;-0,007;-0,009;0,007;-0,006;-0,003;-0,007;-0,004;-0,006;-0,009;-0,003;-0,006;-0,007;-0,007;0,003;-0,001;-0,005;-0,008;-0,005;-0,002;-0,01;0,014;-0,005;-0,007;-0,011;0,002;-0,007;0,001;-0,006;-0,007;-0,007;-0,01;-0,004;-0,008;-0,007;-0,007;0,001;-0,005
Blank corrected based on Raw Data (600);3,00;-0,005;-0,009;0,002;-0,005;-0,011;0,008;0,003;-0,009;-0,01;0,004;-0,003;;-0,004;-0,005;-0,007;-0,006;-0,009;-0,005;-0,005;-0,008;-0,01;0,00081;-0,005;-0,006;-0,009;-0,006;-0,009;-0,012;-0,004;-0,006;-0,007;-0,01;0,006;-0,005;-0,004;-0,007;-0,003;-0,005;-0,01;-0,003;-0,006;-0,007;-0,008;0,004;-0,006;-0,006;-0,007;-0,005;-0,003;-0,01;0,016;-0,006;-0,008;-0,011;0,003;-0,007;0,00001;-0,006;-0,007;-0,007;-0,01;-0,005;-0,007;-0,007;-0,01;0,00071;-0,005
Blank corrected based on Raw Data (600);3,17;-0,005;-0,008;0,001;-0,003;-0,01;0,012;0,00032;-0,008;-0,011;0,003;0,004;;-0,004;-0,004;-0,007;-0,005;-0,01;-0,004;-0,004;-0,007;-0,01;0,007;-0,003;-0,007;-0,007;-0,005;-0,008;-0,011;-0,003;-0,008;-0,005;-0,01;0,004;-0,002;-0,002;-0,006;-0,002;-0,004;-0,011;-0,002;-0,005;-0,006;-0,008;0,005;-0,004;-0,006;-0,007;-0,004;-0,00018;-0,012;0,021;-0,008;-0,007;-0,01;0,004;-0,008;0,027;-0,007;-0,007;-0,005;-0,01;-0,004;-0,007;-0,006;-0,007;0,002;-0,00038
Blank corrected based on Raw Data (600);3,33;-0,006;-0,009;0,002;-0,002;-0,011;0,015;0,002;-0,007;-0,01;0,006;0,002;;-0,004;-0,006;-0,006;-0,002;-0,012;-0,004;-0,004;-0,006;-0,011;0,000273333;0,002;-0,006;-0,007;-0,005;-0,008;-0,01;-0,004;-0,000526667;-0,006;-0,01;0,002;0,000873333;-0,002;-0,005;-0,002;-0,003;-0,009;-0,000426667;0,003;-0,006;-0,007;0,006;0,000673333;-0,006;-0,007;-0,004;0,003;-0,01;0,026;-0,006;-0,007;-0,01;0,005;-0,008;0,029;-0,005;-0,007;-0,005;-0,01;-0,004;-0,007;-0,007;-0,007;0,000773333;-0,002
