Well;;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;C12;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;D12;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;H2;H3;H4;H5;H6;H7;H8;H9;H10;H11;H12
Content;Time;Sample X1;Sample X2;Sample X3;Sample X4;Sample X5;Sample X6;Sample X7;Sample X8;Sample X9;Sample X10;Sample X11;Sample X12;Sample X13;Sample X14;Sample X15;Sample X16;Sample X17;Sample X18;Sample X19;Sample X20;Sample X21;Sample X22;Sample X23;Sample X24;Sample X25;Sample X26;Sample X27;Sample X28;Sample X29;Sample X30;Sample X31;Sample X32;Sample X33;Sample X34;Sample X35;Sample X36;Sample X37;Sample X38;Sample X39;Sample X40;Sample X41;Sample X42;Sample X43;Sample X44;Sample X45;Sample X46;Sample X47;Sample X48;Sample X49;Sample X50;Sample X51;Sample X52;Sample X53;Sample X54;Sample X55;Sample X56;Sample X57;Sample X58;Sample X59;Sample X60;Sample X61;Sample X62;Sample X63;Sample X64;Sample X65;Sample X66;Sample X67;Sample X68;Sample X69;Sample X70;Sample X71;Sample X72;Sample X73;Sample X74;Sample X75;Sample X76;Sample X77;Sample X78;Sample X79;Sample X80;Sample X81;Sample X82;Sample X83;Sample X84;Sample X85;Sample X86;Sample X87;Sample X88
Blank corrected based on Raw Data (600);0,00;0,22;0,174;0,168;0,12;0,16;0,145;0,124;0,129;0,143;0,154;-0,045;0,326;0,34;0,333;0,296;0,235;0,199;0,186;0,172;0,185;0,187;0,114;0,374;0,363;0,353;0,316;0,266;0,2;0,209;0,206;0,199;0,2;0,12;0,353;0,373;0,354;0,322;0,257;0,202;0,195;0,182;0,191;0,181;0,012;0,339;0,364;0,335;0,283;0,218;0,214;0,178;0,188;0,176;0,193;0,133;0,275;0,317;0,27;0,199;0,189;0,197;0,2;0,204;0,168;0,176;0,119;0,203;0,184;0,209;0,219;0,21;0,207;0,185;0,147;0,169;0,165;-0,041;-0,046;0,079;0,123;0,13;0,125;0,129;0,116;0,095;0,105;0,04;-0,045
Blank corrected based on Raw Data (600);0,17;-0,013;-0,015;-0,017;-0,016;-0,019;-0,016;-0,016;-0,017;-0,015;-0,012;-0,012;0,133;0,349;0,305;0,241;0,227;0,252;0,243;0,224;0,234;0,224;-0,012;0,222;0,355;0,363;0,294;0,255;0,244;0,266;0,261;0,25;0,246;-0,013;0,19;0,335;0,346;0,254;0,27;0,259;0,255;0,232;0,241;0,224;0,005;0,173;0,262;0,265;0,257;0,266;0,257;0,236;0,244;0,219;0,239;-0,012;0,032;0,248;0,239;0,252;0,234;0,256;0,238;0,244;0,216;0,233;-0,012;-0,013;0,158;0,238;0,253;0,243;0,24;0,22;0,106;0,121;-0,009;-0,007;-0,011;-0,01;-0,014;-0,014;-0,018;-0,013;-0,017;-0,016;-0,012;-0,013;-0,011
Blank corrected based on Raw Data (600);0,33;-0,014;-0,016;-0,018;-0,016;-0,02;-0,017;-0,018;-0,017;-0,015;-0,013;-0,012;-0,016;0,039;0,204;0,235;0,222;0,251;0,241;0,217;0,194;-0,014;-0,013;-0,016;0,233;0,265;0,249;0,262;0,254;0,262;0,268;0,259;0,196;-0,014;-0,016;0,248;0,285;0,262;0,28;0,265;0,262;0,242;0,242;0,192;0,004;-0,017;0,202;0,267;0,266;0,275;0,262;0,245;0,25;0,219;0,15;-0,012;-0,016;-0,017;0,226;0,25;0,238;0,258;0,233;0,216;0,128;-0,015;-0,012;-0,014;-0,016;-0,017;-0,014;0,055;0,036;-0,013;-0,012;-0,009;-0,009;-0,008;-0,012;-0,011;-0,017;-0,015;-0,019;-0,012;-0,017;-0,017;-0,013;-0,013;-0,013
Blank corrected based on Raw Data (600);0,50;-0,014;-0,016;-0,017;-0,016;-0,019;-0,016;-0,018;-0,017;-0,015;-0,013;-0,013;-0,016;0,066;-0,014;-0,017;-0,016;-0,015;-0,016;-0,017;-0,015;-0,015;-0,014;-0,017;-0,018;0,18;0,243;0,256;0,255;0,257;0,238;0,09;-0,015;-0,013;-0,016;-0,016;0,235;0,259;0,276;0,264;0,259;0,231;0,127;-0,017;0,003;-0,017;-0,018;0,108;0,244;0,263;0,242;0,206;0,152;-0,016;-0,015;-0,012;-0,017;-0,015;-0,015;-0,017;-0,016;-0,016;-0,015;-0,016;-0,016;-0,014;-0,013;-0,015;-0,016;-0,016;-0,016;-0,015;-0,014;-0,014;-0,011;-0,01;-0,01;-0,007;-0,013;-0,012;-0,017;-0,016;-0,019;-0,012;-0,018;-0,017;-0,014;-0,014;-0,013
Blank corrected based on Raw Data (600);0,67;-0,013;-0,015;-0,017;-0,014;-0,019;-0,015;-0,017;-0,016;-0,014;-0,013;-0,012;-0,016;-0,018;-0,014;-0,017;-0,017;-0,016;-0,016;-0,017;-0,015;-0,014;-0,012;-0,016;-0,018;-0,019;-0,018;-0,018;-0,017;-0,016;-0,018;-0,01;-0,015;-0,013;-0,017;-0,017;-0,018;-0,018;-0,017;-0,015;-0,017;-0,018;-0,017;-0,017;0,002;-0,016;-0,018;-0,017;-0,017;-0,018;-0,016;-0,018;-0,017;-0,017;-0,016;-0,013;-0,016;-0,017;-0,016;-0,018;-0,018;-0,016;-0,017;-0,016;-0,016;-0,01;-0,013;-0,013;-0,017;-0,018;-0,016;-0,016;-0,015;-0,013;-0,012;-0,008;-0,01;-0,008;-0,01;-0,011;-0,016;-0,015;-0,019;-0,01;-0,018;-0,017;-0,013;-0,015;-0,013
Blank corrected based on Raw Data (600);0,83;-0,011;-0,014;-0,018;-0,015;-0,018;-0,014;-0,016;-0,017;-0,014;-0,012;-0,012;-0,016;0,007;-0,014;-0,017;-0,017;-0,016;-0,016;-0,018;-0,016;-0,014;-0,013;-0,016;-0,017;-0,018;-0,017;-0,017;-0,017;-0,017;-0,017;-0,01;-0,015;-0,012;-0,017;-0,016;-0,018;-0,018;-0,017;-0,015;-0,015;-0,016;-0,016;-0,017;0,004;-0,017;-0,017;-0,017;-0,017;-0,018;-0,015;-0,016;-0,016;-0,017;-0,016;-0,013;-0,016;-0,017;-0,015;-0,017;-0,017;-0,015;-0,015;-0,016;-0,016;-0,007;-0,012;-0,013;-0,016;-0,017;-0,014;-0,013;-0,014;-0,012;-0,01;-0,008;-0,01;-0,008;-0,009;-0,01;-0,016;-0,014;-0,018;-0,01;-0,016;-0,015;-0,013;-0,012;-0,012
Blank corrected based on Raw Data (600);1,00;-0,011;-0,015;-0,017;-0,015;-0,019;-0,016;-0,016;-0,018;-0,013;-0,012;-0,012;-0,017;-0,018;-0,015;-0,017;-0,016;-0,016;-0,017;-0,017;-0,018;-0,015;-0,012;-0,017;-0,017;-0,019;-0,017;-0,018;-0,016;-0,017;-0,018;-0,009;-0,016;-0,014;-0,018;-0,017;-0,017;-0,017;-0,017;-0,015;-0,017;-0,018;-0,017;-0,017;0,003;-0,016;-0,017;-0,019;-0,017;-0,019;-0,016;-0,017;-0,017;-0,017;-0,016;-0,012;-0,016;-0,016;-0,016;-0,017;-0,018;-0,014;-0,015;-0,018;-0,017;-0,014;-0,013;-0,013;-0,017;-0,018;-0,015;-0,013;-0,015;-0,012;-0,011;-0,01;-0,005;-0,009;-0,009;-0,01;-0,016;-0,013;-0,018;-0,009;-0,017;-0,016;-0,013;-0,014;-0,011
Blank corrected based on Raw Data (600);1,17;-0,012;-0,015;-0,018;-0,015;-0,019;-0,015;-0,016;-0,017;-0,014;-0,013;-0,011;-0,016;-0,015;-0,014;-0,018;-0,016;-0,016;-0,017;-0,017;-0,017;-0,014;-0,013;-0,016;-0,018;-0,018;-0,016;-0,018;-0,017;-0,016;-0,017;-0,009;-0,015;-0,012;-0,017;-0,018;-0,017;-0,018;-0,017;-0,012;-0,017;-0,017;-0,016;-0,016;0,003;-0,017;-0,018;-0,018;-0,017;-0,017;-0,016;-0,016;-0,017;-0,017;-0,016;-0,012;-0,017;-0,017;-0,016;-0,018;-0,016;-0,016;-0,016;-0,017;-0,017;-0,013;-0,013;-0,012;-0,016;-0,017;-0,012;-0,013;-0,015;-0,013;-0,011;-0,007;0,201;-0,009;-0,007;-0,01;-0,017;-0,015;-0,018;-0,008;-0,017;-0,017;-0,013;-0,013;-0,011
Blank corrected based on Raw Data (600);1,33;-0,011;-0,015;-0,018;-0,014;-0,019;-0,015;-0,016;-0,017;-0,014;-0,012;-0,011;-0,017;-0,018;-0,015;-0,017;-0,017;-0,016;-0,016;-0,018;-0,018;-0,015;-0,012;-0,017;-0,018;-0,018;-0,017;-0,019;-0,018;-0,018;-0,018;-0,01;-0,015;-0,014;-0,017;-0,017;-0,018;-0,017;-0,017;-0,015;-0,016;-0,017;-0,017;-0,017;0,004;-0,018;-0,017;-0,019;-0,017;-0,019;-0,014;-0,016;-0,017;-0,016;-0,015;-0,012;-0,016;-0,016;-0,016;-0,018;-0,017;-0,017;-0,017;-0,017;-0,015;-0,012;-0,012;-0,012;-0,017;-0,018;-0,009;-0,012;-0,014;-0,013;-0,01;-0,008;0,022;-0,008;-0,009;-0,01;-0,016;-0,014;-0,019;-0,007;-0,017;-0,016;-0,013;-0,014;-0,011
