Well;Time;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;C12;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;D12;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10;H11
Content;Time;Sample X1;Sample X2;Sample X3;Sample X4;Sample X5;Sample X6;Sample X7;Sample X8;Sample X9;Sample X10;Sample X11;Sample X12;Sample X13;Sample X14;Sample X15;Sample X16;Sample X17;Sample X18;Sample X19;Sample X20;Sample X21;Sample X22;Sample X23;Sample X24;Sample X25;Sample X26;Sample X27;Sample X28;Sample X29;Sample X30;Sample X31;Sample X32;Sample X33;Sample X34;Sample X35;Sample X36;Sample X37;Sample X38;Sample X39;Sample X40;Sample X41;Sample X42;Sample X43;Sample X44;Sample X45;Sample X46;Sample X47;Sample X48;Sample X49;Sample X50;Sample X51;Sample X52;Sample X53;Sample X54;Sample X55;Sample X77;Sample X56;Sample X57;Sample X58;Sample X59;Sample X60;Sample X61;Sample X62;Sample X63;Sample X64;Sample X65;Sample X66;Sample X78;Sample X67;Sample X68;Sample X69;Sample X70;Sample X71;Sample X72;Sample X73;Sample X74;Sample X75;Sample X76
Blank corrected based on Raw Data (600);0,00;-0,016;-0,019;-0,017;-0,017;-0,018;-0,018;-0,017;-0,017;-0,017;-0,015;-0,011;-0,018;-0,018;-0,017;-0,017;-0,018;-0,018;-0,018;-0,017;-0,017;-0,017;-0,013;-0,018;-0,018;-0,017;-0,015;-0,017;-0,017;-0,016;-0,019;-0,015;-0,016;-0,012;-0,017;-0,017;-0,017;-0,016;-0,017;-0,018;-0,018;-0,016;-0,018;-0,017;-0,013;-0,018;-0,019;-0,018;-0,016;-0,017;-0,017;-0,017;-0,017;-0,017;-0,016;-0,014;-0,009;-0,015;-0,016;-0,016;-0,016;-0,016;-0,016;-0,017;-0,016;-0,017;-0,015;-0,013;-0,014;-0,013;-0,014;-0,018;-0,018;-0,018;-0,019;-0,017;-0,023;-0,017;-0,015
Blank corrected based on Raw Data (600);0,17;-0,016;-0,019;-0,018;-0,018;-0,018;-0,019;-0,018;-0,019;-0,018;-0,015;-0,011;-0,019;-0,019;-0,019;-0,019;-0,019;-0,019;-0,016;-0,018;-0,018;-0,016;-0,014;-0,018;-0,019;-0,018;-0,016;-0,019;-0,018;-0,016;-0,019;-0,018;-0,018;-0,013;-0,018;-0,019;-0,017;-0,004;-0,018;-0,018;-0,013;-0,018;-0,018;-0,016;-0,014;-0,017;-0,019;-0,018;-0,018;-0,018;-0,019;-0,016;-0,018;-0,018;-0,015;-0,014;-0,009;-0,015;-0,016;-0,017;-0,017;-0,016;-0,017;-0,018;-0,016;-0,017;-0,015;-0,013;-0,013;-0,012;-0,013;-0,017;-0,017;-0,019;-0,018;-0,018;-0,026;-0,016;-0,013
Blank corrected based on Raw Data (600);0,33;-0,016;-0,019;-0,02;-0,019;-0,019;-0,019;-0,018;-0,018;-0,019;-0,016;-0,011;-0,019;-0,019;-0,006;-0,019;-0,019;-0,018;-0,017;-0,018;-0,018;-0,016;-0,014;-0,018;-0,018;-0,018;-0,015;-0,018;-0,019;-0,016;-0,019;-0,017;-0,019;-0,013;-0,018;-0,019;-0,017;0,005;-0,018;-0,018;-0,015;-0,018;-0,019;-0,017;-0,014;-0,018;-0,018;-0,018;-0,018;-0,018;-0,019;-0,015;-0,018;-0,017;-0,015;-0,014;-0,009;-0,016;-0,016;-0,018;-0,017;-0,016;-0,016;-0,016;-0,016;-0,017;-0,016;-0,013;-0,013;-0,011;-0,013;-0,017;-0,018;-0,017;-0,018;-0,018;-0,026;-0,016;-0,014
Blank corrected based on Raw Data (600);0,50;-0,017;-0,02;-0,019;-0,019;-0,018;-0,019;-0,018;-0,018;-0,019;-0,014;-0,011;-0,019;-0,019;-0,016;-0,019;-0,019;-0,019;-0,017;-0,019;-0,019;-0,016;-0,014;-0,018;-0,02;-0,019;-0,015;-0,018;-0,018;-0,017;-0,02;-0,018;-0,018;-0,013;-0,018;-0,019;-0,017;0,004;-0,019;-0,018;-0,017;-0,018;-0,017;-0,017;-0,013;-0,018;-0,019;-0,019;-0,017;-0,018;-0,019;-0,014;-0,018;-0,018;-0,016;-0,014;-0,009;-0,016;-0,016;-0,018;-0,017;-0,016;-0,016;-0,006;-0,016;-0,017;-0,015;-0,013;-0,012;-0,011;-0,013;-0,017;-0,017;-0,017;-0,019;-0,018;-0,027;-0,015;-0,013
Blank corrected based on Raw Data (600);0,67;-0,017;-0,019;-0,018;-0,019;-0,018;-0,019;-0,019;-0,019;-0,019;-0,015;-0,012;-0,018;-0,019;-0,013;-0,02;-0,019;-0,019;-0,019;-0,018;-0,018;-0,017;-0,015;-0,018;-0,019;-0,019;-0,015;-0,018;-0,019;-0,018;-0,02;-0,017;-0,017;-0,013;-0,018;-0,019;-0,017;0,008;-0,019;-0,019;-0,016;-0,018;-0,019;-0,017;-0,013;-0,017;-0,019;-0,018;-0,018;-0,018;-0,019;-0,017;-0,018;-0,017;-0,016;-0,013;-0,008;-0,016;-0,016;-0,017;-0,017;-0,016;-0,017;-0,011;-0,015;-0,018;-0,015;-0,013;-0,013;-0,012;-0,012;-0,016;-0,017;-0,017;-0,017;-0,018;-0,026;-0,016;-0,013
Blank corrected based on Raw Data (600);0,83;-0,016;-0,02;-0,02;-0,019;-0,018;-0,02;-0,019;-0,02;-0,018;-0,017;-0,011;-0,017;-0,02;-0,015;-0,019;-0,019;-0,019;-0,019;-0,018;-0,019;-0,016;-0,013;-0,019;-0,019;-0,019;-0,016;-0,018;-0,019;-0,017;-0,019;-0,018;-0,017;-0,014;-0,018;-0,019;-0,017;0,008;-0,018;-0,019;-0,016;-0,018;-0,019;-0,017;-0,014;-0,018;-0,019;-0,019;-0,019;-0,018;-0,019;-0,017;-0,018;-0,019;-0,016;-0,013;-0,008;-0,016;-0,015;-0,018;-0,017;-0,016;-0,016;-0,013;-0,016;-0,018;-0,015;-0,013;-0,012;-0,012;-0,014;-0,017;-0,017;-0,017;-0,019;-0,018;-0,027;-0,016;-0,013
Blank corrected based on Raw Data (600);1,00;-0,017;-0,021;-0,02;-0,019;-0,019;-0,019;-0,019;-0,019;-0,019;-0,017;-0,012;-0,016;-0,019;-0,006;-0,019;-0,02;-0,019;-0,018;-0,019;-0,019;-0,017;-0,014;-0,018;-0,019;-0,019;-0,015;-0,019;-0,019;-0,017;-0,02;-0,019;-0,018;-0,013;-0,018;-0,019;-0,017;0,008;-0,019;-0,018;-0,018;-0,018;-0,018;-0,017;-0,013;-0,018;-0,019;-0,018;-0,019;-0,018;-0,019;-0,017;-0,017;-0,018;-0,015;-0,014;-0,009;-0,016;-0,016;-0,018;-0,016;-0,016;-0,017;-0,003;-0,015;-0,018;-0,015;-0,014;-0,013;-0,012;-0,013;-0,017;-0,017;-0,018;-0,017;-0,018;-0,028;-0,016;-0,013
Blank corrected based on Raw Data (600);1,17;-0,017;-0,021;-0,02;-0,02;-0,019;-0,019;-0,018;-0,019;-0,019;-0,015;-0,012;-0,019;-0,018;-0,02;-0,018;-0,02;-0,019;-0,019;-0,019;-0,019;-0,017;-0,015;-0,018;-0,02;-0,019;-0,015;-0,019;-0,019;-0,019;-0,021;-0,018;-0,019;-0,015;-0,019;-0,019;-0,018;0,006;-0,018;-0,018;-0,018;-0,018;-0,019;-0,017;-0,013;-0,018;-0,019;-0,019;-0,019;-0,019;-0,019;-0,018;-0,018;-0,019;-0,016;-0,015;-0,009;-0,017;-0,016;-0,019;-0,018;-0,017;-0,017;-0,016;-0,016;-0,019;-0,016;-0,014;-0,013;-0,012;-0,014;-0,017;-0,018;-0,018;-0,019;-0,019;-0,028;-0,016;-0,013
Blank corrected based on Raw Data (600);1,33;-0,016;-0,019;-0,02;-0,019;-0,02;-0,019;-0,018;-0,02;-0,02;-0,016;-0,013;-0,018;-0,02;-0,02;-0,02;-0,02;-0,02;-0,018;-0,02;-0,018;-0,017;-0,015;-0,019;-0,02;-0,02;-0,016;-0,018;-0,019;-0,018;-0,021;-0,019;-0,018;-0,014;-0,019;-0,02;-0,018;0,007;-0,02;-0,02;-0,018;-0,019;-0,019;-0,018;-0,014;-0,018;-0,019;-0,02;-0,019;-0,019;-0,02;-0,019;-0,019;-0,02;-0,016;-0,015;-0,01;-0,016;-0,016;-0,018;-0,018;-0,018;-0,017;-0,017;-0,016;-0,018;-0,015;-0,014;-0,014;-0,013;-0,014;-0,018;-0,019;-0,018;-0,02;-0,02;-0,028;-0,017;-0,014
