"timepoints","Strain_Type","Value","Plate","Position","Name","Description","Species","y","Treatment","Highest_Value"
0,"X1",0.0587,"plate 1","A1","1A01","Vibrionales","Vibrio lentus/splendidus",0.0625,"Ammonium + C",NA
0,"X3",0.0707,"plate 1","A2","3B05","Pseudomonadales","Neptunomonas phycophila",0.0655,"Ammonium + C",NA
0,"X5",0.0622,"plate 1","A3","3C02","Vibrionales","Vibrio splendidus",0.0619,"Ammonium + C",NA
0,"X7",0.0646,"plate 1","A4","3D04","Alteromonadales","Alteromonas stellipolaris",0.0634,"Ammonium + C",NA
0,"X9",0.0604,"plate 1","A5","4B03","Alteromonadales","Alteromonas sp000597705",0.0597,"Ammonium + C",NA
0,"X11",0.0623,"plate 1","A6","4B04","Vibrionales","Vibrio splendidus",0.0608,"Ammonium + C",NA
0,"X13",0.0692,"plate 1","A7","4D01","Alteromonadales","Pseudoalteromonas marina",0.0579,"Ammonium + C",NA
0,"X15",0.0617,"plate 1","A8","4G03","Flavobacteriales","Tenacibaculum discolor",0.0581,"Ammonium + C",NA
0,"X17",0.0636,"plate 1","A9","4G09","Alteromonadales","Pseudoalteromonas marina",0.0592,"Ammonium + C",NA
0,"X19",0.0748,"plate 1","A10","5F06","Flavobacteriales","Maribacter dokdonensis",0.0664,"Ammonium + C",NA
0,"X21",0.0734,"plate 1","A11","5G01","Pseudomonadales","Neptunomonas phycophila",0.0654,"Ammonium + C",NA
0,"X23",0.0673,"plate 1","A12","6B07","Flavobacteriales","Maribacter dokdonensis",0.0699,"Ammonium + C",NA
0,"X49",0.0594,"plate 1","B1","6C01","Alteromonadales","Alteromonas stellipolaris",0.0597,"Ammonium + C",NA
0,"X51",0.0703,"plate 1","B2","6D03","Vibrionales","Vibrio penaeicida",0.0607,"Ammonium + C",NA
0,"X53",0.0882,"plate 1","B3","6E01","Vibrionales","Vibrio penaeicida",0.0618,"Ammonium + C",NA
0,"X55",0.0629,"plate 1","B4","6E02","Vibrionales","Vibrio splendidus",0.0627,"Ammonium + C",NA
0,"X57",0.0633,"plate 1","B5","6E03","Vibrionales","Vibrio splendidus",0.0631,"Ammonium + C",NA
0,"X59",0.0621,"plate 1","B6","B3R02_2","Alteromonadales",NA,0.0633,"Ammonium + C",NA
0,"X61",0.0602,"plate 1","B7","A1M10","Flavobacteriales","Cellulophaga lytica",0.0614,"Ammonium + C",NA
0,"X63",0.0665,"plate 1","B8","A1R05","Alteromonadales","Paraglaciecola chathamensis",0.0661,"Ammonium + C",NA
0,"X65",0.0591,"plate 1","B9","A1R06","Alteromonadales","Pseudoalteromonas carrageenovora",0.0599,"Ammonium + C",NA
0,"X67",0.0599,"plate 1","B10","A1R11","Alteromonadales","Pseudoalteromonas carrageenovora",0.059,"Ammonium + C",NA
0,"X69",0.0649,"plate 1","B11","A2M07","Flavobacteriales",NA,0.0646,"Ammonium + C",NA
0,"X71",0.066,"plate 1","B12","A2R01","Pseudomonadales","Cobetia amphilecti",0.067,"Ammonium + C",NA
0,"X97",0.0627,"plate 1","C1","A2R16","Pseudomonadales","Neptunomonas phycophila",0.0619,"Ammonium + C",NA
0,"X99",0.0624,"plate 1","C2","A2R20","Pseudomonadales",NA,0.0624,"Ammonium + C",NA
0,"X101",0.0608,"plate 1","C3","A3M03","Flavobacteriales","Zobellia galactanivorans",0.0622,"Ammonium + C",NA
0,"X103",0.0648,"plate 1","C4","A3R06","Rhodobacterales","Epibacterium mobile",0.0657,"Ammonium + C",NA
0,"X105",0.0644,"plate 1","C5","B1M15","Flavobacteriales","Cobetia amphilecti",0.0636,"Ammonium + C",NA
0,"X107",0.0654,"plate 1","C6","B1R08","Pseudomonadales",NA,0.0655,"Ammonium + C",NA
0,"X109",0.0607,"plate 1","C7","B1R10","Alteromonadales","Cobetia marina",0.0606,"Ammonium + C",NA
0,"X111",0.0611,"plate 1","C8","B1R15","Alteromonadales","Shewanella sp002873615",0.061,"Ammonium + C",NA
0,"X113",0.0641,"plate 1","C9","B2M13","Pseudomonadales","Shewanella sp002873615",0.066,"Ammonium + C",NA
0,"X115",0.0675,"plate 1","C10","A3R12","Alteromonadales","Paraglaciecola chathamensis",0.0643,"Ammonium + C",NA
0,"X117",0.0627,"plate 1","C11","B2R09","Rhodobacterales","Roseovarius nubinhibens",0.0649,"Ammonium + C",NA
0,"X119",0.0606,"plate 1","C12","B3M03","Rhodobacterales",NA,0.0669,"Ammonium + C",NA
0,"X145",0.0607,"plate 1","D1","B3M08","Rhodobacterales",NA,0.0648,"Ammonium + C",NA
0,"X147",0.0635,"plate 1","D2","G2R10","Vibrionales","Vibrio splendidus",0.0606,"Ammonium + C",NA
0,"X149",0.0635,"plate 1","D3","B3R02","Alteromonadales",NA,0.0645,"Ammonium + C",NA
0,"X151",0.0599,"plate 1","D4","C2M01","Vibrionales",NA,0.0607,"Ammonium + C",NA
0,"X153",0.0642,"plate 1","D5","C2M04","Alteromonadales","Agarivorans sp005405585",0.0654,"Ammonium + C",NA
0,"X155",0.0759,"plate 1","D6","C2R09","Rhodobacterales",NA,0.0691,"Ammonium + C",NA
0,"X157",0.0653,"plate 1","D7","C2R11","Alteromonadales","Shewanella sp002873135",0.0967,"Ammonium + C",NA
0,"X159",0.0627,"plate 1","D8","C2R13","Pseudomonadales","Cobetia amphilecti",0.0668,"Ammonium + C",NA
0,"X161",0.0599,"plate 1","D9","C2R21","Alteromonadales","Pseudoalteromonas carrageenovora",0.0617,"Ammonium + C",NA
0,"X163",0.0645,"plate 1","D10","C3M06","Rhodobacterales",NA,0.0739,"Ammonium + C",NA
0,"X165",0.0632,"plate 1","D11","C3M08","Alteromonadales","Pseudoalteromonas carrageenovora",0.062,"Ammonium + C",NA
0,"X167",0.0609,"plate 1","D12","C3M10","Alteromonadales","Pseudoalteromonas carrageenovora",0.0578,"Ammonium + C",NA
0,"X193",0.0576,"plate 1","E1","C3M11","Flavobacteriales",NA,0.0607,"Ammonium + C",NA
